log_hhsize,region,fer_electrique,fer_charbon,bonbonne_gaz,ventilo,voiture,ordinateur,frigo,type_logement,statut_occup,eclairage,materiau_toit,nature_sol,source_eau_ss,materiau_mur,tx_promiscuite,dem_emp_rate,activ12m,age,educ_hi,sexe,mode_evac_ordure,type_sanitaire,partage_sanitaire,excrement_hors_concess,evac_eau_usees,milieu,pauvre,hhid,source
2.1972245773362196,14,2,2,2,2,2,2,2,2,2,3,2,3,2,4,1.2857142857142858,11.11111111111111,1,66.0,1.0,1,3,2,2,,4,2.0,1,59811.0,2
1.9459101490553132,14,2,1,2,2,2,2,2,2,2,3,3,2,1,1,1.4,57.14285714285714,2,38.0,1.0,1,5,2,2,2.0,4,2.0,1,59809.0,2
2.4849066497880004,14,2,1,1,2,2,2,2,2,2,3,3,3,2,2,1.5,50.0,2,50.0,1.0,1,3,2,2,,3,2.0,0,59808.0,2
2.0794415416798357,14,2,2,2,2,2,2,2,2,2,3,3,1,2,1,1.6,37.5,2,57.0,1.0,2,5,2,2,4.0,3,2.0,1,59807.0,2
1.6094379124341003,14,2,2,2,2,2,2,2,2,2,3,3,3,2,3,1.25,40.0,2,57.0,5.0,1,3,2,1,2.0,4,2.0,0,59806.0,2
2.3978952727983707,14,2,1,1,2,2,2,2,2,2,4,3,2,1,1,1.8333333333333333,27.27272727272727,1,74.0,1.0,1,5,2,2,,4,2.0,1,59805.0,2
2.302585092994046,14,2,2,2,2,2,2,1,2,2,1,2,3,1,4,1.25,18.181818181818183,1,61.0,1.0,1,3,1,2,4.0,4,2.0,0,59804.0,2
2.0794415416798357,14,2,2,1,2,2,2,2,2,2,3,3,2,2,4,1.1428571428571428,25.0,2,40.0,1.0,2,5,2,2,,3,2.0,0,59803.0,2
1.3862943611198906,14,2,1,2,2,2,2,2,2,2,3,3,3,1,4,1.0,25.0,1,58.0,1.0,2,5,2,1,5.0,4,2.0,0,59802.0,2
1.791759469228055,14,2,1,1,2,2,2,2,1,2,4,1,1,1,1,1.2,33.33333333333333,1,72.0,1.0,2,5,1,2,1.0,4,2.0,0,59801.0,2
3.332204510175204,14,2,2,1,2,2,2,2,2,3,3,3,2,2,2,1.4,10.714285714285714,2,46.0,1.0,1,5,2,1,2.0,4,2.0,1,59713.0,2
2.0794415416798357,14,2,2,2,2,2,2,2,2,2,4,3,3,2,2,4.0,12.5,2,64.0,1.0,2,5,2,2,2.0,4,2.0,1,59710.0,2
2.772588722239781,14,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2.0,12.5,2,47.0,1.0,1,5,2,2,2.0,4,2.0,1,59709.0,2
1.791759469228055,14,2,2,2,2,2,2,2,2,2,4,3,3,2,2,2.0,16.666666666666664,2,69.0,1.0,1,3,2,2,2.0,4,2.0,1,59708.0,2
1.6094379124341003,14,2,2,2,2,2,2,2,2,2,4,3,3,2,2,1.25,20.0,2,57.0,1.0,1,5,2,2,2.0,4,2.0,1,59707.0,2
2.4849066497880004,14,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2.4,25.0,2,46.0,1.0,2,5,2,2,2.0,4,2.0,1,59706.0,2
2.4849066497880004,14,2,1,2,2,2,2,2,2,2,4,3,2,2,2,1.5,33.33333333333333,2,44.0,4.0,1,5,2,1,2.0,4,2.0,1,59705.0,2
1.9459101490553132,14,2,2,2,2,2,2,2,2,2,4,3,3,2,2,1.75,28.57142857142857,2,33.0,1.0,1,3,2,1,2.0,4,2.0,1,59704.0,2
1.791759469228055,14,2,2,1,2,2,2,2,2,2,4,3,2,2,2,0.8571428571428571,33.33333333333333,2,68.0,1.0,1,5,2,1,2.0,4,2.0,1,59703.0,2
2.3978952727983707,14,2,1,2,2,2,2,2,2,2,4,3,3,2,2,1.8333333333333333,36.36363636363637,2,38.0,1.0,1,3,2,2,2.0,4,2.0,1,59702.0,2
