log_hhsize,region,fer_electrique,fer_charbon,bonbonne_gaz,ventilo,voiture,ordinateur,frigo,type_logement,statut_occup,eclairage,materiau_toit,nature_sol,source_eau_ss,materiau_mur,tx_promiscuite,dem_emp_rate,activ12m,age,educ_hi,sexe,mode_evac_ordure,type_sanitaire,partage_sanitaire,excrement_hors_concess,evac_eau_usees,milieu,pauvre,hhid,source
2.302585092994046,14,2,2,2,1,2,2,2,2,2,1,2,3,1,4,2.0,20.0,1,63.0,1.0,2,5,1,2,4.0,4,1.0,0,59213.0,0
1.6094379124341003,14,2,2,2,2,2,2,2,2,2,4,3,3,2,2,1.0,40.0,2,55.0,1.0,2,5,2,2,2.0,4,1.0,1,59212.0,0
1.6094379124341003,14,2,2,2,1,2,2,2,2,2,1,1,3,1,4,0.8333333333333334,20.0,2,53.0,1.0,2,2,1,2,4.0,4,1.0,0,59211.0,0
2.3978952727983707,14,2,2,2,2,2,2,2,2,2,3,3,3,1,2,1.375,36.36363636363637,2,50.0,1.0,1,2,2,2,,3,1.0,1,59208.0,0
1.3862943611198906,14,2,1,1,1,2,1,1,2,2,1,3,2,1,1,1.0,50.0,2,42.0,9.0,1,5,2,2,2.0,3,1.0,0,59207.0,0
1.791759469228055,14,2,1,2,2,2,2,1,2,2,1,3,2,2,4,1.2,50.0,2,62.0,3.0,1,3,2,2,2.0,3,1.0,0,59206.0,0
1.791759469228055,14,2,2,2,1,2,2,2,2,2,1,2,3,1,4,1.2,16.666666666666664,2,53.0,1.0,2,5,1,2,1.0,4,1.0,0,59205.0,0
1.791759469228055,14,2,1,2,2,2,2,2,2,2,4,3,2,1,2,1.5,25.0,2,59.0,1.0,1,5,2,2,4.0,4,1.0,0,59204.0,0
1.791759469228055,14,2,1,2,2,2,2,2,2,2,1,3,2,2,4,1.2,33.33333333333333,2,62.0,1.0,1,3,2,2,,3,1.0,1,59202.0,0
2.3978952727983707,14,2,2,2,2,2,2,1,2,2,1,3,2,2,2,2.75,27.27272727272727,2,57.0,1.0,1,5,2,2,2.0,3,1.0,1,59114.0,0
2.4849066497880004,14,2,1,2,1,2,2,1,2,4,1,3,1,1,1,3.0,23.076923076923077,2,44.0,1.0,2,3,1,2,1.0,4,1.0,1,59113.0,0
1.791759469228055,14,2,1,1,2,2,2,2,2,2,1,3,2,1,2,1.0,16.666666666666664,2,74.0,6.0,1,3,1,2,1.0,4,1.0,0,59112.0,0
